,,,,,,,
name,hours_of_operation,coordinate_location,address,contact_info,offered_services,location_notes,permanent
Dryades YMCA,"- M-F: 7 am - 7pm 
- Sat: 8 am - 12pm 
- Sun: Close","29.93648143271945, -90.0839767495443","2220 Oretha C Haley Blvd, New Orleans, LA 70113",,,,true 
New Orleans JCC - Uptown,"- M-F: 9 am - 5 pm 
- Sat-Sun: Closed","29.927554542982534, -90.11279747525661","5342 St. Charles Avenue, New Orleans, LA 70115",,,,true 
Rosenwald Recreation Center,"- M-F: 8 am - 3 pm
- Sat-Sun: Closed","29.95441377455375, -90.09555111457715","1120 S Broad St, New Orleans, LA 70125",,,,true 
Trinity Community Center,"- M-F: 10 am - 6 pm
- Sat-Sun: Closed","29.969669686299994, -90.1124344752552","3908 Joliet St, New Orleans, LA 70118",,,,true 
University Sports Complex,"Monday - Thursday: 8 a.m. - 9 p.m.

Friday: 8 a.m. - 8 p.m.

Saturday: 9 a.m. - 8 p.m.

Sunday: 1 p.m. - 8 p.m.","29.936225980063277, -90.1206132175862","6363 St Charles Ave, New Orleans, LA 70118",,,,true 